Data Element,Categorization
core__condition.condition_id,PII
core__condition.patient_id,PII
core__condition.encounter_id,PII
core__condition.claim_id,PII
core__condition.recorded_date,PHI
core__condition.onset_date,PHI
core__condition.resolved_date,PHI
core__condition.status,PHI
core__condition.condition_type,PHI
core__condition.source_code_type,PHI
core__condition.source_code,PHI
core__condition.source_description,PHI
core__condition.normalized_code_type,PHI
core__condition.normalized_code,PHI
core__condition.normalized_description,PHI
core__condition.mapping_method,None
core__condition.condition_rank,PHI
core__condition.present_on_admit_code,PHI
core__condition.present_on_admit_description,PHI
core__condition.data_source,None
core__condition.tuva_last_run,None
core__eligibility.eligibility_id,PII
core__eligibility.patient_id,PII
core__eligibility.member_id,PII
core__eligibility.subscriber_id,PII
core__eligibility.birth_date,PII
core__eligibility.death_date,PII
core__eligibility.enrollment_start_date,PHI
core__eligibility.enrollment_end_date,PHI
core__eligibility.payer,PFI
core__eligibility.payer_type,PFI
core__eligibility.plan,PFI
core__eligibility.original_reason_entitlement_code,PHI
core__eligibility.dual_status_code,PHI
core__eligibility.medicare_status_code,PHI
core__eligibility.subscriber_relation,PII
core__eligibility.data_source,None
core__eligibility.tuva_last_run,None
core__encounter.encounter_id,PII
core__encounter.patient_id,PII
core__encounter.patient_data_source_id,PII
core__encounter.encounter_type,PHI
core__encounter.encounter_group,PHI
core__encounter.encounter_start_date,PHI
core__encounter.encounter_end_date,PHI
core__encounter.length_of_stay,PHI
core__encounter.admit_source_code,PHI
core__encounter.admit_source_description,PHI
core__encounter.admit_type_code,PHI
core__encounter.admit_type_description,PHI
core__encounter.discharge_disposition_code,PHI
core__encounter.discharge_disposition_description,PHI
core__encounter.attending_provider_id,PII
core__encounter.attending_provider_name,PII
core__encounter.facility_id,PII
core__encounter.facility_name,PII
core__encounter.facility_type,PHI
core__encounter.observation_flag,None
core__encounter.lab_flag,None
core__encounter.dme_flag,None
core__encounter.ambulance_flag,None
core__encounter.pharmacy_flag,None
core__encounter.ed_flag,None
core__encounter.delivery_flag,PHI
core__encounter.delivery_type,PHI
core__encounter.newborn_flag,PHI
core__encounter.nicu_flag,PHI
core__encounter.primary_diagnosis_code_type,PHI
core__encounter.primary_diagnosis_code,PHI
core__encounter.primary_diagnosis_description,PHI
core__encounter.ms_drg_code,PHI
core__encounter.ms_drg_description,PHI
core__encounter.apr_drg_code,PHI
core__encounter.apr_drg_description,PHI
core__encounter.paid_amount,PFI
core__encounter.allowed_amount,PFI
core__encounter.charge_amount,PFI
core__encounter.data_source,None
core__encounter.claim_count,None
core__encounter.inst_claim_count,None
core__encounter.prof_claim_count,None
core__encounter.source_model,None
core__encounter.encounter_source_type,None
core__encounter.tuva_last_run,None
core__lab_result.lab_result_id,PII
core__lab_result.patient_id,PII
core__lab_result.encounter_id,PII
core__lab_result.accession_number,PII
core__lab_result.source_code_type,PHI
core__lab_result.source_code,PHI
core__lab_result.source_description,PHI
core__lab_result.source_component,PHI
core__lab_result.normalized_code_type,PHI
core__lab_result.normalized_code,PHI
core__lab_result.normalized_description,PHI
core__lab_result.mapping_method,None
core__lab_result.normalized_component,PHI
core__lab_result.status,PHI
core__lab_result.result,PHI
core__lab_result.result_date,PHI
core__lab_result.collection_date,PHI
core__lab_result.source_units,PHI
core__lab_result.normalized_units,PHI
core__lab_result.source_reference_range_low,PHI
core__lab_result.source_reference_range_high,PHI
core__lab_result.normalized_reference_range_low,PHI
core__lab_result.normalized_reference_range_high,PHI
core__lab_result.source_abnormal_flag,PHI
core__lab_result.normalized_abnormal_flag,PHI
core__lab_result.specimen,PHI
core__lab_result.ordering_practitioner_id,PII
core__lab_result.data_source,None
core__lab_result.tuva_last_run,None
core__location.location_id,PII
core__location.npi,PII
core__location.name,PII
core__location.facility_type,PHI
core__location.parent_organization,PII
core__location.address,PII
core__location.city,PII
core__location.state,PII
core__location.zip_code,PII
core__location.latitude,PII
core__location.longitude,PII
core__location.data_source,None
core__location.tuva_last_run,None
core__medical_claim.medical_claim_id,PII
core__medical_claim.claim_id,PII
core__medical_claim.claim_line_number,None
core__medical_claim.encounter_id,PII
core__medical_claim.encounter_type,PHI
core__medical_claim.encounter_group,PHI
core__medical_claim.claim_type,PHI
core__medical_claim.patient_id,PII
core__medical_claim.member_id,PII
core__medical_claim.payer,PFI
core__medical_claim.plan,PFI
core__medical_claim.claim_start_date,PHI
core__medical_claim.claim_end_date,PHI
core__medical_claim.claim_line_start_date,PHI
core__medical_claim.claim_line_end_date,PHI
core__medical_claim.admission_date,PHI
core__medical_claim.discharge_date,PHI
core__medical_claim.service_category_1,PHI
core__medical_claim.service_category_2,PHI
core__medical_claim.service_category_3,PHI
core__medical_claim.admit_source_code,PHI
core__medical_claim.admit_source_description,PHI
core__medical_claim.admit_type_code,PHI
core__medical_claim.admit_type_description,PHI
core__medical_claim.discharge_disposition_code,PHI
core__medical_claim.discharge_disposition_description,PHI
core__medical_claim.place_of_service_code,PHI
core__medical_claim.place_of_service_description,PHI
core__medical_claim.bill_type_code,PHI
core__medical_claim.bill_type_description,PHI
core__medical_claim.ms_drg_code,PHI
core__medical_claim.ms_drg_description,PHI
core__medical_claim.apr_drg_code,PHI
core__medical_claim.apr_drg_description,PHI
core__medical_claim.revenue_center_code,PHI
core__medical_claim.revenue_center_description,PHI
core__medical_claim.service_unit_quantity,PHI
core__medical_claim.hcpcs_code,PHI
core__medical_claim.hcpcs_modifier_1,PHI
core__medical_claim.hcpcs_modifier_2,PHI
core__medical_claim.hcpcs_modifier_3,PHI
core__medical_claim.hcpcs_modifier_4,PHI
core__medical_claim.hcpcs_modifier_5,PHI
core__medical_claim.rendering_id,PII
core__medical_claim.rendering_tin,PII
core__medical_claim.rendering_name,PII
core__medical_claim.billing_id,PII
core__medical_claim.billing_tin,PII
core__medical_claim.billing_name,PII
core__medical_claim.facility_id,PII
core__medical_claim.facility_name,PII
core__medical_claim.paid_date,PFI
core__medical_claim.paid_amount,PFI
core__medical_claim.allowed_amount,PFI
core__medical_claim.charge_amount,PFI
core__medical_claim.coinsurance_amount,PFI
core__medical_claim.copayment_amount,PFI
core__medical_claim.deductible_amount,PFI
core__medical_claim.total_cost_amount,PFI
core__medical_claim.in_network_flag,None
core__medical_claim.enrollment_flag,None
core__medical_claim.data_source,None
core__medical_claim.tuva_last_run,None
core__medication.medication_id,PII
core__medication.patient_id,PII
core__medication.encounter_id,PII
core__medication.dispensing_date,PHI
core__medication.prescribing_date,PHI
core__medication.source_code_type,PHI
core__medication.source_code,PHI
core__medication.source_description,PHI
core__medication.ndc_code,PHI
core__medication.ndc_description,PHI
core__medication.ndc_mapping_method,None
core__medication.rxnorm_code,PHI
core__medication.rxnorm_description,PHI
core__medication.rxnorm_mapping_method,None
core__medication.atc_code,PHI
core__medication.atc_description,PHI
core__medication.atc_mapping_method,None
core__medication.route,PHI
core__medication.strength,PHI
core__medication.quantity,PHI
core__medication.quantity_unit,PHI
core__medication.days_supply,PHI
core__medication.practitioner_id,PII
core__medication.data_source,None
core__medication.tuva_last_run,None
core__member_months.patient_id,PII
core__member_months.year_month,PHI
core__member_months.payer,PFI
core__member_months.plan,PFI
core__member_months.data_source,None
core__member_months.tuva_last_run,None
core__member_months.payer_attributed_provider,PII
core__member_months.payer_attributed_provider_practice,PII
core__member_months.payer_attributed_provider_organization,PII
core__member_months.payer_attributed_provider_lob,PFI
core__member_months.custom_attributed_provider,PII
core__member_months.custom_attributed_provider_practice,PII
core__member_months.custom_attributed_provider_organization,PII
core__member_months.custom_attributed_provider_lob,PFI
core__observation.observation_id,PII
core__observation.patient_id,PII
core__observation.encounter_id,PII
core__observation.panel_id,PII
core__observation.observation_date,PHI
core__observation.observation_type,PHI
core__observation.source_code_type,PHI
core__observation.source_code,PHI
core__observation.source_description,PHI
core__observation.normalized_code_type,PHI
core__observation.normalized_code,PHI
core__observation.normalized_description,PHI
core__observation.mapping_method,None
core__observation.result,PHI
core__observation.source_units,PHI
core__observation.normalized_units,PHI
core__observation.source_reference_range_low,PHI
core__observation.source_reference_range_high,PHI
core__observation.normalized_reference_range_low,PHI
core__observation.normalized_reference_range_high,PHI
core__observation.data_source,None
core__observation.tuva_last_run,None
core__patient.patient_id,PII
core__patient.sex,PII
core__patient.race,PII
core__patient.birth_date,PII
core__patient.death_date,PII
core__patient.death_flag,PHI
core__patient.first_name,PII
core__patient.last_name,PII
core__patient.social_security_number,PII
core__patient.address,PII
core__patient.city,PII
core__patient.state,PII
core__patient.zip_code,PII
core__patient.county,PII
core__patient.latitude,PII
core__patient.longitude,PII
core__patient.phone,PII
core__patient.age,PII
core__patient.age_group,PII
core__patient.data_source,None
core__patient.tuva_last_run,None
core__pharmacy_claim.pharmacy_claim_id,PII
core__pharmacy_claim.claim_id,PII
core__pharmacy_claim.claim_line_number,None
core__pharmacy_claim.patient_id,PII
core__pharmacy_claim.member_id,PII
core__pharmacy_claim.payer,PFI
core__pharmacy_claim.plan,PFI
core__pharmacy_claim.prescribing_provider_id,PII
core__pharmacy_claim.prescribing_provider_name,PII
core__pharmacy_claim.dispensing_provider_id,PII
core__pharmacy_claim.dispensing_provider_name,PII
core__pharmacy_claim.dispensing_date,PHI
core__pharmacy_claim.ndc_code,PHI
core__pharmacy_claim.ndc_description,PHI
core__pharmacy_claim.quantity,PHI
core__pharmacy_claim.days_supply,PHI
core__pharmacy_claim.refills,PHI
core__pharmacy_claim.paid_date,PFI
core__pharmacy_claim.paid_amount,PFI
core__pharmacy_claim.allowed_amount,PFI
core__pharmacy_claim.charge_amount,PFI
core__pharmacy_claim.coinsurance_amount,PFI
core__pharmacy_claim.copayment_amount,PFI
core__pharmacy_claim.deductible_amount,PFI
core__pharmacy_claim.in_network_flag,None
core__pharmacy_claim.data_source,None
core__pharmacy_claim.tuva_last_run,None
core__practitioner.practitioner_id,PII
core__practitioner.npi,PII
core__practitioner.provider_first_name,PII
core__practitioner.provider_last_name,PII
core__practitioner.practice_affiliation,PII
core__practitioner.specialty,PHI
core__practitioner.sub_specialty,PHI
core__practitioner.data_source,None
core__practitioner.tuva_last_run,None
core__procedure.procedure_id,PII
core__procedure.encounter_id,PII
core__procedure.claim_id,PII
core__procedure.patient_id,PII
core__procedure.procedure_date,PHI
core__procedure.source_code_type,PHI
core__procedure.source_code,PHI
core__procedure.source_description,PHI
core__procedure.normalized_code_type,PHI
core__procedure.normalized_code,PHI
core__procedure.normalized_description,PHI
core__procedure.mapping_method,None
core__procedure.modifier_1,PHI
core__procedure.modifier_2,PHI
core__procedure.modifier_3,PHI
core__procedure.modifier_4,PHI
core__procedure.modifier_5,PHI
core__procedure.practitioner_id,PII
core__procedure.data_source,None
core__procedure.tuva_last_run,None
